Date,Open,High,Low,Close,Adj Close,Volume
2006-12-27,53.599998,53.910000,53.599998,53.910000,46.224377,41900
2006-12-28,53.950001,53.950001,53.669998,53.790001,46.121479,9200
2006-12-29,53.700001,53.779999,53.439999,53.439999,45.821354,13600
2007-01-03,53.580002,54.000000,53.220001,53.480000,45.855671,20900
2007-01-04,53.320000,53.509998,53.040001,53.419998,45.804211,48900
2007-01-05,53.330002,53.340000,52.970001,53.169998,45.589855,7300
2007-01-08,53.299999,53.790001,53.070000,53.759998,46.095749,20600
2007-01-09,53.900002,53.950001,53.400002,53.709999,46.052872,6700
2007-01-10,53.599998,54.119999,53.490002,54.119999,46.404408,25500
2007-01-11,54.119999,54.660000,54.099998,54.509998,46.738808,67300
2007-01-12,54.540001,54.570000,54.250000,54.490002,46.721691,27600
2007-01-16,54.799999,54.910000,54.560001,54.660000,46.867435,36800
2007-01-17,54.700001,54.840000,54.490002,54.680000,46.884590,27700
2007-01-18,54.549999,54.599998,54.000000,54.110001,46.395844,35100
2007-01-19,54.209999,54.439999,54.110001,54.430000,46.670227,29800
2007-01-22,54.299999,54.299999,53.500000,53.610001,45.967129,16500
2007-01-23,53.950001,55.130001,53.849998,54.910000,47.081783,126900
2007-01-24,54.880001,55.110001,54.619999,55.110001,47.253288,32900
2007-01-25,55.349998,55.349998,54.369999,54.430000,46.670227,17800
2007-01-26,54.500000,54.509998,53.889999,54.220001,46.490150,23800
2007-01-29,54.230000,54.380001,54.130001,54.340000,46.593071,14300
2007-01-30,54.389999,54.680000,54.389999,54.639999,46.850285,17000
2007-01-31,54.799999,55.560001,54.799999,55.439999,47.536243,16700
2007-02-01,55.660000,56.169998,55.580002,56.139999,48.136452,31500
2007-02-02,56.299999,56.450001,56.139999,56.220001,48.205040,17700
2007-02-05,56.320000,56.540001,56.110001,56.430000,48.385090,16400
2007-02-06,56.590000,56.820000,56.459999,56.770000,48.676632,29200
2007-02-07,56.919998,57.090000,56.810001,57.009998,48.882404,23700
2007-02-08,57.119999,57.119999,56.730000,56.930000,48.813820,40500
2007-02-09,57.049999,57.049999,56.419998,56.560001,48.496563,98400
2007-02-12,56.599998,56.599998,56.240002,56.400002,48.359394,37200
2007-02-13,56.500000,56.900002,56.500000,56.880001,48.770954,22800
2007-02-14,57.099998,57.290001,57.000000,57.209999,49.053886,169300
2007-02-15,57.349998,57.590000,57.189999,57.549999,49.345428,62900
2007-02-16,57.599998,57.599998,57.169998,57.400002,49.216824,21800
2007-02-20,57.500000,57.849998,57.279999,57.840000,49.594093,29400
2007-02-21,57.950001,58.080002,57.720001,57.900002,49.645535,38600
2007-02-22,57.939999,58.070000,57.430000,57.700001,49.474033,84700
2007-02-23,57.560001,57.680000,57.320000,57.619999,49.405441,23200
2007-02-26,57.799999,57.799999,56.889999,57.000000,48.873844,138900
2007-02-27,56.000000,56.360001,54.779999,55.150002,47.287575,107900
2007-02-28,55.380001,55.849998,54.840000,55.450001,47.544815,59300
2007-03-01,54.520000,55.799999,54.340000,55.470001,47.561962,24400
2007-03-02,55.340000,55.470001,54.669998,54.669998,46.875984,101300
2007-03-05,54.099998,55.040001,54.090000,54.150002,46.430149,120500
2007-03-06,55.000000,55.139999,54.599998,55.110001,47.253288,17000
2007-03-07,55.150002,55.279999,54.910000,55.099998,47.244720,14200
2007-03-08,55.500000,55.810001,55.380001,55.480000,47.570530,18300
2007-03-09,56.000000,56.000000,55.549999,55.799999,47.844921,56800
2007-03-12,55.889999,56.610001,55.790001,56.520000,48.462273,48200
2007-03-13,56.299999,56.299999,55.200001,55.279999,47.399052,15300
2007-03-14,55.349998,55.669998,54.540001,55.470001,47.561962,23000
2007-03-15,55.599998,56.060001,55.599998,56.049999,48.059265,20900
2007-03-16,56.099998,56.430000,56.009998,56.090000,48.093571,25900
2007-03-19,56.650002,56.779999,56.470001,56.580002,48.513714,13700
2007-03-20,56.689999,56.830002,56.500000,56.830002,48.728081,21500
2007-03-21,56.939999,57.459999,56.660000,57.400002,49.216824,16000
2007-03-22,57.490002,57.490002,56.279999,57.070000,48.933834,49400
2007-03-23,57.000000,57.450001,57.000000,57.400002,49.256523,51600
2007-03-26,57.400002,57.430000,56.750000,57.230000,49.110626,64900
2007-03-27,57.070000,57.070000,56.770000,57.060001,48.964748,70500
2007-03-28,56.900002,56.900002,56.330002,56.459999,48.449867,12500
2007-03-29,56.900002,57.000000,56.349998,56.720001,48.672989,24300
2007-03-30,56.900002,57.070000,56.279999,56.520000,48.501373,324600
2007-04-02,56.700001,56.700001,56.419998,56.639999,48.604340,10000
2007-04-03,57.000000,57.349998,56.799999,57.200001,49.084888,16900
2007-04-04,57.299999,57.380001,57.169998,57.259998,49.136383,14600
2007-04-05,57.099998,57.330002,57.099998,57.240002,49.119205,148500
2007-04-09,57.500000,57.500000,57.189999,57.240002,49.119205,38600
2007-04-10,57.349998,57.459999,57.259998,57.340000,49.205017,49200
2007-04-11,57.380001,57.380001,56.700001,56.770000,48.715900,20900
2007-04-12,56.599998,57.189999,56.520000,57.189999,49.076313,14400
2007-04-13,57.070000,57.299999,56.950001,57.250000,49.127789,10100
2007-04-16,57.500000,57.840000,57.500000,57.779999,49.582600,22600
2007-04-17,57.669998,57.889999,57.549999,57.750000,49.556847,9600
2007-04-18,57.779999,58.380001,57.759998,58.209999,49.951603,36300
2007-04-19,58.000000,58.119999,57.779999,57.939999,49.719910,14200
2007-04-20,58.650002,58.650002,58.360001,58.540001,50.234776,37000
2007-04-23,58.590000,58.860001,58.590000,58.790001,50.449318,21400
2007-04-24,58.849998,58.849998,58.209999,58.520000,50.217613,131900
2007-04-25,58.750000,59.000000,58.480000,58.840000,50.492214,28800
2007-04-26,58.950001,58.950001,58.549999,58.590000,50.277672,30300
2007-04-27,58.580002,59.070000,58.580002,58.980000,50.612358,17100
2007-04-30,58.900002,59.110001,58.580002,58.580002,50.269108,17700
2007-05-01,58.799999,58.799999,58.349998,58.740002,50.406406,10300
2007-05-02,58.860001,59.700001,58.860001,59.500000,51.058582,24000
2007-05-03,59.750000,59.980000,59.610001,59.980000,51.470486,9700
2007-05-04,60.349998,60.450001,60.040001,60.220001,51.676430,13200
2007-05-07,60.700001,60.959999,60.630001,60.959999,52.311443,17400
2007-05-08,60.599998,60.770000,60.250000,60.770000,52.148407,17400
2007-05-09,60.830002,61.139999,60.680000,61.070000,52.405849,15400
2007-05-10,60.880001,60.910000,60.470001,60.500000,51.916702,19000
2007-05-11,60.599998,60.779999,60.480000,60.779999,52.156990,16000
2007-05-14,61.000000,61.060001,60.590000,60.650002,52.045414,12900
2007-05-15,60.980000,61.299999,60.520000,60.520000,51.933872,13100
2007-05-16,60.700001,61.040001,60.580002,61.040001,52.380108,15100
2007-05-17,61.000000,61.310001,60.869999,61.139999,52.465916,11100
2007-05-18,61.299999,61.299999,61.040001,61.200001,52.517410,14100
2007-05-21,61.189999,61.610001,61.189999,61.450001,52.731930,37000
2007-05-22,61.500000,61.500000,61.020000,61.099998,52.431591,21100
2007-05-23,61.150002,61.230000,60.750000,60.750000,52.131245,29500
2007-05-24,61.099998,61.509998,60.540001,60.540001,51.951050,13200
2007-05-25,61.099998,61.110001,60.830002,61.009998,52.354362,8200
2007-05-29,61.450001,61.560001,61.279999,61.560001,52.826328,12900
2007-05-30,61.279999,62.020000,61.150002,62.020000,53.221058,11000
2007-05-31,62.299999,62.520000,62.209999,62.470001,53.607212,28400
2007-06-01,62.950001,63.040001,62.480000,62.549999,53.675861,11600
2007-06-04,62.520000,62.740002,62.470001,62.709999,53.813156,14100
2007-06-05,62.450001,62.580002,62.180000,62.509998,53.641544,15200
2007-06-06,62.299999,62.330002,61.919998,62.299999,53.461346,12400
2007-06-07,62.299999,62.299999,61.259998,61.259998,52.568886,11800
2007-06-08,61.009998,62.049999,60.919998,62.049999,53.246811,22000
2007-06-11,61.900002,62.130001,61.700001,62.070000,53.263962,7800
2007-06-12,61.549999,61.990002,61.349998,61.349998,52.646122,14700
2007-06-13,61.730000,62.180000,61.630001,62.099998,53.289700,13300
2007-06-14,62.450001,62.919998,62.450001,62.790001,53.881828,17300
2007-06-15,63.500000,63.650002,63.320000,63.360001,54.370964,88500
